2020-2021 (2021),http://www.espn.com/nba/salaries/_/year/2021/seasontype/3,564,28.2,,2019-2020,http://www.espn.com/nba/salaries/_/year/2020/seasontype/3,526,,,2018-2019,http://www.espn.com/nba/salaries/_/year/2019/seasontype/3,499,,,2017-2018,http://www.espn.com/nba/salaries/_/year/2018/seasontype/3,589,,,2016-2017,http://www.espn.com/nba/salaries/_/year/2017/seasontype/3,582,,,2015-16,http://www.espn.com/nba/salaries/_/year/2016/seasontype/3,512,,,2014-15,http://www.espn.com/nba/salaries/_/year/2015/seasontype/3,517,,,2013-14,http://www.espn.com/nba/salaries/_/year/2014/seasontype/3,426,,,2012-13,http://www.espn.com/nba/salaries/_/year/2013/seasontype/3,690,,,2011-12,http://www.espn.com/nba/salaries/_/year/2012/seasontype/3,614,,,2010-11,http://www.espn.com/nba/salaries/_/year/2011/seasontype/3,538,,,2009-10,http://www.espn.com/nba/salaries/_/year/2010/seasontype/3,480,
RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY
11,"Jimmy Butler, SF",Miami Heat,34379100,,11,"Jimmy Butler, SF",Miami Heat,32742000,,11,"Kevin Durant, PF",Golden State Warriors,30000000,,11,"Carmelo Anthony, PF",Oklahoma City Thunder,26243760,,11,"Chris Bosh, PF",Miami Heat,23741060,,11,"Brook Lopez, C",Brooklyn Nets,19689000,,11,"Derrick Rose, PG",Chicago Bulls,18862876,,11,"Chris Paul, PG",LA Clippers,18668431,,11,"Kevin Durant, PF",Oklahoma City Thunder,17832626,,11,"Joe Johnson, G",Atlanta Hawks,18038573,,11,"Vince Carter, G",Phoenix Suns,17522375,,11,"Pau Gasol, PF",Los Angeles Lakers,16452000
12,"Kawhi Leonard, SF",LA Clippers,34379100,,12,"Kawhi Leonard, SF",LA Clippers,32742000,,12,"Paul Millsap, PF",Denver Nuggets,29230769,,12,"Damian Lillard, PG",Portland Trail Blazers,26153057,,12,"Dwyane Wade, G",Chicago Bulls,23200000,,12,"Kevin Love, PF",Cleveland Cavaliers,19689000,,12,"Blake Griffin, PF",LA Clippers,17674613,,12,"Deron Williams, PG",Brooklyn Nets,18466130,,12,"Derrick Rose, PG",Chicago Bulls,17632688,,12,"Andrei Kirilenko, SF",Philadelphia 76ers,17823000,,12,"Dirk Nowitzki, F",Dallas Mavericks,17278618,,12,"Andrei Kirilenko, SF",Utah Jazz,16452000
13,"Kemba Walker, PG",Boston Celtics,34379100,,13,"Klay Thompson, SG",Golden State Warriors,32742000,,13,"Al Horford, C",Boston Celtics,28928709,,13,"Otto Porter Jr., SF",Washington Wizards,26011913,,13,"Dwight Howard, C",Atlanta Hawks,23180275,,13,"DeAndre Jordan, C",LA Clippers,19689000,,13,"Zach Randolph, F",Memphis Grizzlies,16500000,,13,"Zach Randolph, F",Memphis Grizzlies,18238333,,13,"Deron Williams, PG",Brooklyn Nets,17177795,,13,"Chris Bosh, PF",Miami Heat,17545000,,13,"Carmelo Anthony, PF",New York Knicks,17149243,,13,"Kevin Garnett, PF",Boston Celtics,16417044
14,"Tobias Harris, PF",Philadelphia 76ers,34358850,,14,"Kemba Walker, PG",Boston Celtics,32742000,,14,"Damian Lillard, PG",Portland Trail Blazers,27977689,,14,"Jrue Holiday, PG",New Orleans Pelicans,25686667,,14,"Chris Paul, PG",LA Clippers,22868827,,14,"Marc Gasol, C",Memphis Grizzlies,19688000,,14,"LaMarcus Aldridge, C",Portland Trail Blazers,16006000,,14,"Rudy Gay, SF",Sacramento Kings,17888932,,14,"Andrew Bynum, C",Philadelphia 76ers,16889000,,14,"LeBron James, SF",Miami Heat,17545000,,14,"Dwight Howard, C",Orlando Magic,16647180,,14,"Amar'e Stoudemire, C",Phoenix Suns,16378325
15,"Khris Middleton, SF",Milwaukee Bucks,33051724,,15,"Gordon Hayward, SF",Boston Celtics,32700690,,15,"DeMar DeRozan, SF",San Antonio Spurs,27739975,,15,"Bradley Beal, SG",Washington Wizards,25434263,,15,"Bradley Beal, SG",Washington Wizards,22116750,,15,"Blake Griffin, PF",LA Clippers,18907726,,15,"Paul George, F",Indiana Pacers,15937290,,15,"Kevin Durant, PF",Oklahoma City Thunder,17832627,,15,"Paul Pierce, SF",Boston Celtics,16790345,,15,"Chris Paul, PG",LA Clippers,16359805,,15,"Kenyon Martin, PF",Denver Nuggets,16545454,,15,"Yao Ming, C",Houston Rockets,16378325
16,"Anthony Davis, PF",Los Angeles Lakers,32742000,,16,"Mike Conley, PG",Utah Jazz,32511624,,16,"Otto Porter Jr., SF",Chicago Bulls,26011913,,16,"Andre Drummond, C",Detroit Pistons,25434263,,16,"Hassan Whiteside, C",Miami Heat,22116750,,16,"Paul Millsap, PF",Atlanta Hawks,18671659,,16,"Marc Gasol, C",Memphis Grizzlies,15829688,,16,"Derrick Rose, PG",Chicago Bulls,17632688,,16,"Zach Randolph, F",Memphis Grizzlies,16500000,,16,"Deron Williams, PG",New Jersey Nets,16359805,,16,"Amar'e Stoudemire, C",New York Knicks,16486611,,16,"Gilbert Arenas, PG",Washington Wizards,16192080
17,"Kyrie Irving, PG",Brooklyn Nets,31742000,,17,"Kyrie Irving, PG",Brooklyn Nets,31742000,,17,"Jrue Holiday, PG",New Orleans Pelicans,25976111,,17,"Hassan Whiteside, C",Miami Heat,25434262,,17,"Harrison Barnes, SF",Dallas Mavericks,22116750,,17,"Paul George, F",Indiana Pacers,17120106,,17,"Kevin Love, PF",Cleveland Cavaliers,15719063,,17,"Blake Griffin, PF",LA Clippers,16441500,,17,"Rudy Gay, SF",Toronto Raptors,16460538,,17,"Dwyane Wade, G",Miami Heat,15691000,,17,"Joe Johnson, G",Atlanta Hawks,16324500,,17,"Vince Carter, G",Orlando Magic,16123250
18,"Damian Lillard, PG",Portland Trail Blazers,31626953,,18,"Khris Middleton, SF",Milwaukee Bucks,30603448,,18,"CJ McCollum, SG",Portland Trail Blazers,25759766,,18,"Joel Embiid, C",Philadelphia 76ers,25250000,,18,"Anthony Davis, PF",New Orleans Pelicans,22116750,,18,"Russell Westbrook, PG",Oklahoma City Thunder,16744218,,18,"Brook Lopez, C",Brooklyn Nets,15719062,,18,"Paul Pierce, SF",Brooklyn Nets,15333334,,18,"Carlos Boozer, PF",Chicago Bulls,15300000,,18,"Kevin Durant, PF",Oklahoma City Thunder,15506632,,18,"Elton Brand, PF",Philadelphia 76ers,15959099,,18,"Zach Randolph, F",Memphis Grizzlies,16000000
19,"Kevin Love, PF",Cleveland Cavaliers,31258256,,19,"Paul George, F",LA Clippers,30560700,,19,"Joel Embiid, C",Philadelphia 76ers,25467250,,19,"Chris Paul, PG",Houston Rockets,24599495,,19,"Andre Drummond, C",Detroit Pistons,22116750,,19,"Kyrie Irving, PG",Cleveland Cavaliers,16407501,,19,"Russell Westbrook, PG",Oklahoma City Thunder,15719062,,19,"Carlos Boozer, PF",Chicago Bulls,15300000,,19,"Andre Iguodala, F",Denver Nuggets,14968250,,19,"Paul Pierce, SF",Boston Celtics,15333334,,19,"Chris Paul, PG",New Orleans Hornets,14940153,,19,"Kenyon Martin, PF",Denver Nuggets,15852511
