Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
22,Brandon Jennings,MIL,22,66,31,35,35.3,19.1,7.1,17.0,41.8,2.0,5.9,33.2,2.9,3.6,80.8,0.7,2.7,3.4,5.5,2.2,1.6,0.3,1.7,35.0,6,0,-1.6
23,Rudy Gay,MEM,25,65,41,24,37.3,19.0,7.5,16.4,45.5,0.8,2.7,31.2,3.2,4.0,79.1,2.0,4.4,6.4,2.3,2.5,1.5,0.8,2.1,34.5,8,0,1.5
24,Joe Johnson,ATL,31,60,36,24,35.4,18.8,7.1,15.5,45.4,2.1,5.4,38.8,2.6,3.1,84.9,0.9,2.8,3.7,3.9,1.9,0.8,0.2,1.3,30.2,0,0,4.0
25,Josh Smith,ATL,26,66,40,26,35.3,18.8,7.6,16.7,45.8,0.4,1.7,25.7,3.1,4.9,63.0,2.1,7.5,9.6,3.9,2.5,1.4,1.7,2.6,43.1,28,0,4.1
26,Andrew Bynum,LAL,24,60,38,22,35.2,18.7,7.4,13.3,55.8,0.0,0.1,20.0,3.9,5.6,69.2,3.2,8.6,11.8,1.4,2.5,0.5,1.9,1.7,39.6,37,0,1.9
27,Danny Granger,IND,29,62,41,21,33.3,18.7,6.3,15.2,41.6,2.0,5.2,38.1,4.1,4.7,87.3,1.3,3.7,5.0,1.8,1.8,1.0,0.6,2.3,30.4,0,0,4.8
28,Marcus Thornton,SAC,25,51,19,32,34.9,18.7,6.9,15.7,43.8,2.1,6.1,34.5,2.8,3.2,86.5,1.6,2.0,3.7,1.9,1.6,1.4,0.2,2.2,29.2,1,0,-3.4
29,Kyrie Irving,CLE,20,51,17,34,30.5,18.5,6.9,14.6,46.9,1.4,3.6,39.9,3.4,3.8,87.2,0.9,2.9,3.7,5.4,3.1,1.1,0.4,2.2,32.3,1,0,-3.2
30,Tony Parker,SAS,30,60,47,13,32.1,18.3,7.1,14.8,48.0,0.2,1.0,23.0,3.8,4.7,79.9,0.4,2.5,2.9,7.7,2.6,1.0,0.1,1.3,33.8,12,0,7.0
31,DeMarcus Cousins,SAC,21,64,20,44,30.5,18.1,7.0,15.6,44.8,0.0,0.2,14.3,4.1,5.8,70.2,4.1,6.8,11.0,1.6,2.7,1.5,1.2,4.0,38.9,36,0,-2.8
32,Chris Bosh,MIA,28,57,42,15,35.2,18.0,6.9,14.2,48.7,0.2,0.6,28.6,4.0,4.9,82.1,1.6,6.3,7.9,1.8,2.1,0.9,0.8,2.2,33.2,11,0,6.8
33,Amar'e Stoudemire,NYK,29,47,22,25,32.8,17.5,6.7,13.9,48.3,0.1,0.4,23.8,4.0,5.2,76.5,2.3,5.6,7.8,1.1,2.4,0.8,1.0,2.9,31.5,16,0,-0.9
34,Pau Gasol,LAL,31,65,41,24,37.4,17.4,7.1,14.1,50.1,0.1,0.4,25.9,3.1,4.0,78.2,2.8,7.6,10.4,3.6,2.2,0.6,1.4,2.0,38.9,42,1,2.4
35,Antawn Jamison,CLE,36,65,20,45,33.1,17.2,6.5,16.1,40.3,1.4,4.1,34.1,2.8,4.2,68.3,1.9,4.4,6.3,2.0,1.4,0.8,0.7,2.5,30.7,7,0,-4.6
36,Kevin Martin,HOU,29,40,20,20,31.6,17.1,5.6,13.4,41.3,2.0,5.6,34.7,4.0,4.5,89.4,0.3,2.3,2.7,2.8,1.8,0.7,0.1,1.8,24.9,0,0,-0.4
37,James Harden,OKC,22,62,44,18,31.4,16.8,5.0,10.1,49.1,1.8,4.7,39.0,5.0,6.0,84.6,0.5,3.6,4.1,3.7,2.2,1.0,0.2,2.4,28.8,0,0,5.9
38,DeMar DeRozan,TOR,22,63,22,41,35.0,16.7,6.0,14.3,42.2,0.4,1.5,26.1,4.3,5.3,81.0,0.6,2.7,3.3,2.0,2.0,0.8,0.3,2.6,24.9,0,0,-1.5
39,Paul Millsap,UTA,27,64,34,30,32.8,16.6,6.7,13.5,49.5,0.1,0.5,22.6,3.2,4.0,79.2,2.8,6.0,8.8,2.3,1.8,1.8,0.8,3.5,36.9,21,0,3.0
40,Tyreke Evans,SAC,22,63,19,44,34.3,16.5,6.5,14.3,45.3,0.3,1.6,20.2,3.2,4.1,77.9,1.0,3.6,4.6,4.5,2.7,1.3,0.5,2.2,31.4,5,0,-4.6
