PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Unnamed: 29
11,Blake Griffin,LAC,26,67,47,20,35.2,21.9,8.6,17.1,50.2,0.1,0.4,40.0,4.6,6.4,72.8,1.9,5.7,7.6,5.3,2.3,0.9,0.5,2.9,41.1,18,0,8.7
12,Kyrie Irving,CLE,23,75,52,23,36.4,21.7,7.7,16.5,46.8,2.1,5.0,41.5,4.2,4.9,86.3,0.7,2.4,3.2,5.2,2.5,1.5,0.3,1.9,36.2,6,0,5.6
13,Klay Thompson,GSW,25,77,64,13,31.9,21.7,7.8,16.9,46.3,3.1,7.1,43.9,2.9,3.3,87.9,0.4,2.9,3.2,2.9,1.9,1.1,0.8,1.6,33.6,1,0,10.1
14,Dwyane Wade,MIA,33,62,28,34,31.8,21.5,8.2,17.5,47.0,0.5,1.6,28.4,4.6,6.0,76.8,0.9,2.6,3.5,4.8,3.4,1.2,0.3,1.7,34.1,3,0,-0.9
15,Chris Bosh,MIA,31,44,19,25,35.4,21.1,7.8,16.9,46.0,1.4,3.8,37.5,4.1,5.3,77.2,1.0,6.0,7.0,2.2,2.2,0.9,0.6,1.6,35.1,7,0,-2.3
16,Rudy Gay,SAC,28,68,25,43,35.4,21.1,7.5,16.4,45.5,1.2,3.2,35.9,5.0,5.8,85.8,1.4,4.4,5.9,3.7,2.7,1.0,0.6,2.3,35.9,2,0,-1.6
17,Damian Lillard,POR,24,82,51,31,35.7,21.0,7.2,16.6,43.4,2.4,7.0,34.3,4.2,4.9,86.4,0.6,4.0,4.6,6.2,2.7,1.2,0.3,2.0,37.4,6,0,3.7
18,DeMar DeRozan,TOR,25,60,37,23,35.0,20.1,6.8,16.5,41.3,0.4,1.5,28.4,6.0,7.2,83.2,0.7,3.9,4.6,3.5,2.3,1.2,0.2,2.0,32.8,4,0,2.2
19,Jimmy Butler,CHI,25,65,40,25,38.7,20.0,6.5,14.0,46.2,1.1,3.0,37.8,5.9,7.1,83.4,1.8,4.1,5.8,3.3,1.4,1.8,0.6,1.7,37.4,4,0,3.7
20,Kevin Martin,MIN,32,39,11,28,33.4,20.0,6.8,16.0,42.7,1.9,4.9,39.3,4.4,4.9,88.1,0.5,3.2,3.6,2.3,1.9,0.8,0.0,1.9,28.4,0,0,-6.5
21,Nikola Vucevic,ORL,24,74,21,53,34.2,19.3,8.5,16.3,52.3,0.0,0.1,33.3,2.2,2.9,75.2,3.2,7.7,10.9,2.0,2.0,0.7,0.7,3.0,37.8,45,0,-4.1
22,Gordon Hayward,UTA,25,76,35,41,34.4,19.3,6.4,14.3,44.5,1.6,4.3,36.4,4.9,6.1,81.2,0.7,4.2,4.9,4.1,2.7,1.4,0.4,1.7,34.1,2,0,1.4
23,Chris Paul,LAC,30,82,56,26,34.8,19.1,6.9,14.3,48.5,1.7,4.3,39.8,3.5,3.9,90.0,0.6,4.0,4.6,10.2,2.3,1.9,0.2,2.5,43.8,40,1,8.9
24,Monta Ellis,DAL,29,80,50,30,33.7,18.9,7.5,16.9,44.5,1.0,3.6,28.5,2.9,3.8,75.2,0.4,2.0,2.4,4.1,2.5,1.9,0.3,2.5,31.9,3,0,2.7
25,Pau Gasol,CHI,34,78,48,30,34.4,18.5,7.3,14.8,49.4,0.2,0.3,46.2,3.8,4.7,80.3,2.8,9.0,11.8,2.7,2.0,0.3,1.9,1.9,41.3,54,0,2.4
26,Victor Oladipo,ORL,23,72,22,50,35.7,17.9,6.6,15.1,43.6,1.2,3.4,33.9,3.6,4.4,81.9,0.7,3.5,4.2,4.1,2.8,1.7,0.3,2.6,32.1,3,0,-4.2
27,Kyle Lowry,TOR,29,70,43,27,34.5,17.8,6.1,14.9,41.2,1.9,5.6,33.8,3.6,4.5,80.8,0.8,3.9,4.7,6.8,2.5,1.6,0.2,3.0,36.3,13,2,2.9
28,Derrick Rose,CHI,26,51,33,18,30.0,17.7,6.6,16.4,40.5,1.5,5.3,28.0,3.0,3.7,81.3,0.7,2.5,3.2,4.9,3.2,0.7,0.3,1.2,28.8,4,0,2.4
29,John Wall,WAS,24,79,45,34,35.9,17.6,6.6,14.8,44.5,0.8,2.7,30.0,3.6,4.6,78.5,0.5,4.2,4.6,10.0,3.8,1.7,0.6,2.3,41.3,40,0,3.5
30,Marc Gasol,MEM,30,81,55,26,33.2,17.4,6.5,13.2,49.4,0.0,0.2,17.6,4.3,5.4,79.5,1.4,6.4,7.8,3.8,2.2,0.9,1.6,2.6,37.7,20,0,2.8
31,Kemba Walker,CHA,25,62,21,41,34.2,17.3,6.1,15.8,38.5,1.4,4.5,30.4,3.8,4.6,82.7,0.6,3.0,3.5,5.1,1.6,1.4,0.5,1.5,33.5,4,0,-3.0
32,Dirk Nowitzki,DAL,37,77,47,30,29.6,17.3,6.3,13.8,45.9,1.4,3.6,38.0,3.3,3.8,88.2,0.6,5.4,5.9,1.9,1.1,0.5,0.4,2.1,29.0,6,0,3.1
33,Brook Lopez,BKN,27,72,34,38,29.2,17.2,7.0,13.7,51.3,0.0,0.1,10.0,3.1,3.8,81.4,3.0,4.5,7.4,0.7,1.4,0.6,1.8,2.9,32.7,17,0,-1.4
34,Tobias Harris,ORL,22,68,20,48,34.8,17.1,6.5,14.0,46.6,1.3,3.5,36.4,2.8,3.6,78.8,1.1,5.3,6.3,1.8,1.7,1.0,0.5,2.0,30.4,11,0,-4.3
35,Eric Bledsoe,PHX,25,81,39,42,34.6,17.0,5.8,12.9,44.7,1.1,3.4,32.4,4.4,5.4,80.0,0.9,4.3,5.2,6.1,3.4,1.6,0.6,2.3,35.4,13,2,0.4
36,Brandon Knight,PHX,23,63,33,30,32.3,17.0,6.0,14.1,42.2,2.0,5.1,38.9,3.1,3.5,87.4,0.4,3.4,3.9,5.2,3.0,1.4,0.2,1.8,31.3,2,0,-1.2
37,Andrew Wiggins,MIN,20,82,16,66,36.2,16.9,6.1,13.9,43.7,0.5,1.5,31.0,4.3,5.7,76.0,1.6,2.9,4.6,2.1,2.2,1.0,0.6,2.3,28.3,2,0,-6.7
38,Tony Wroten,PHI,22,30,4,26,29.8,16.9,5.8,14.5,40.3,1.2,4.7,26.1,4.0,6.0,66.7,0.7,2.1,2.9,5.2,3.8,1.6,0.3,2.4,30.0,2,0,-7.8
39,Paul Millsap,ATL,30,73,55,18,32.7,16.7,6.1,12.7,47.6,1.1,3.0,35.6,3.5,4.6,75.7,1.9,5.9,7.8,3.1,2.3,1.8,0.9,2.8,36.5,15,0,5.6
40,Al Jefferson,CHA,30,65,25,40,30.6,16.6,7.5,15.5,48.1,0.0,0.1,40.0,1.7,2.5,65.5,1.5,6.9,8.4,1.7,1.0,0.7,1.3,2.1,34.4,22,0,-1.8
