Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Kevin Durant,OKC,25,81,58,23,38.5,32,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,0.7,6.7,7.4,5.5,3.5,1.3,0.7,2.1,51.6,27,3,6.3
2,Carmelo Anthony,NYK,30,77,35,42,38.7,27.4,9.6,21.3,45.2,2.2,5.4,40.2,6,7,84.8,1.9,6.2,8.1,3.1,2.6,1.2,0.7,2.9,45,22,0,1.4
3,LeBron James,MIA,29,77,52,25,37.7,27.1,10,17.6,56.7,1.5,4,37.9,5.7,7.6,75,1.1,5.9,6.9,6.3,3.5,1.6,0.3,1.6,47.2,12,1,5.3
4,Kevin Love,MIN,25,77,39,38,36.3,26.1,8.4,18.5,45.7,2.5,6.6,37.6,6.8,8.2,82.1,2.9,9.6,12.5,4.4,2.5,0.8,0.5,1.8,48.9,65,3,4.6
5,James Harden,HOU,24,73,48,25,38,25.4,7.5,16.5,45.6,2.4,6.6,36.6,7.9,9.1,86.6,0.8,3.9,4.7,6.1,3.6,1.6,0.4,2.4,42.5,14,1,5.6
6,Blake Griffin,LAC,25,80,56,24,35.8,24.1,9,17,52.8,0.2,0.6,27.3,6,8.4,71.5,2.4,7.1,9.5,3.9,2.8,1.2,0.6,3.3,43.8,43,1,7.1
7,Stephen Curry,GSW,26,78,50,28,36.5,24,8.4,17.7,47.1,3.3,7.9,42.4,3.9,4.5,88.5,0.6,3.7,4.3,8.5,3.8,1.6,0.2,2.5,43.7,28,4,7.4
8,LaMarcus Aldridge,POR,28,69,46,23,36.2,23.2,9.4,20.6,45.8,0,0.2,20,4.3,5.2,82.2,2.4,8.7,11.1,2.6,1.8,0.9,1,2.1,44.3,40,0,5.3
9,DeMarcus Cousins,SAC,23,71,28,43,32.4,22.7,8.3,16.8,49.6,0,0.1,0,6.1,8.4,72.6,3.1,8.6,11.7,2.9,3.5,1.5,1.3,3.8,46.1,53,0,-0.2
10,DeMar DeRozan,TOR,24,79,45,34,38.2,22.7,7.6,17.8,42.9,0.8,2.7,30.5,6.6,8,82.4,0.6,3.7,4.3,4,2.2,1.1,0.4,2.5,35.9,2,0,2.3
11,Al Jefferson,CHA,29,73,38,35,35,21.8,9.6,18.8,50.9,0,0.2,20,2.6,3.8,69,2.1,8.7,10.8,2.1,1.7,0.9,1.1,2.4,42.3,42,0,0.4
12,Russell Westbrook,OKC,25,46,34,12,30.7,21.8,7.5,17.2,43.7,1.5,4.7,31.8,5.3,6.4,82.6,1.2,4.5,5.7,6.9,3.8,1.9,0.2,2.3,41.4,11,2,4.8
13,Paul George,IND,24,80,54,26,36.2,21.7,7.2,17,42.4,2.3,6.3,36.4,5,5.8,86.4,0.8,6,6.8,3.5,2.8,1.9,0.3,2.5,38.8,12,1,4.6
14,Dirk Nowitzki,DAL,36,80,48,32,32.9,21.7,7.9,15.9,49.7,1.6,4.1,39.8,4.2,4.7,89.9,0.5,5.7,6.2,2.7,1.5,0.9,0.6,2.1,36.2,6,0,4
15,Kyrie Irving,CLE,22,71,28,43,35.2,20.8,7.5,17.4,43,1.7,4.8,35.8,4.1,4.8,86.1,0.7,2.9,3.6,6.1,2.7,1.5,0.3,2.3,37.2,7,1,-3.1
16,Anthony Davis,NOP,21,67,29,38,35.2,20.8,7.8,15,51.9,0,0.1,22.2,5.2,6.6,79.1,3.1,7,10,1.6,1.6,1.3,2.8,3,46,36,0,-1.7
17,Brook Lopez,BKN,26,17,7,10,31.4,20.7,7.6,13.5,56.3,0,0.1,0,5.5,6.8,81.7,2.3,3.7,6,0.9,1.6,0.5,1.8,3.1,34.6,0,0,-1.2
18,Damian Lillard,POR,23,82,54,28,35.8,20.7,6.7,15.9,42.4,2.7,6.8,39.4,4.5,5.2,87.1,0.4,3.1,3.5,5.6,2.4,0.8,0.3,2.4,34,6,0,4.4
19,Isaiah Thomas,SAC,25,72,26,46,34.7,20.3,6.9,15.2,45.3,1.8,5.1,34.9,4.8,5.7,85,0.7,2.3,2.9,6.3,3,1.3,0.1,2.6,34.6,7,1,0.4
20,Goran Dragic,PHX,28,76,45,31,35.1,20.3,7.3,14.4,50.5,1.6,3.9,40.8,4.2,5.5,76,0.9,2.3,3.2,5.9,2.8,1.4,0.3,2.7,35.2,7,0,4
21,Rudy Gay,SAC,27,73,27,46,34.7,20,7.4,16.2,45.5,0.9,2.7,33,4.4,5.3,82.2,1.5,4.4,6,2.9,3.1,1.3,0.8,2.3,34.6,11,0,-0.9
22,Ryan Anderson,NOP,26,22,12,10,36.1,19.8,7,16.1,43.8,3,7.5,40.9,2.7,2.8,95.2,3,3.5,6.5,0.8,0.9,0.5,0.3,2.1,30.1,4,0,1.4
23,John Wall,WAS,23,82,44,38,36.3,19.3,7.1,16.3,43.3,1.3,3.8,35.1,3.9,4.8,80.5,0.5,3.6,4.1,8.8,3.6,1.8,0.5,2.7,40.7,29,2,2.4
24,Chris Paul,LAC,29,62,44,18,35,19.1,6.5,14,46.7,1.3,3.4,36.8,4.8,5.6,85.5,0.6,3.7,4.3,10.7,2.3,2.5,0.1,2.5,45.6,39,0,8.5
25,Kevin Martin,MIN,31,68,32,36,32,19.1,6.5,15,43,1.7,4.4,38.7,4.5,5,89.1,0.5,2.5,3,1.8,1.6,1,0.1,1.8,27,1,0,2.6
26,Dwyane Wade,MIA,32,54,36,18,32.9,19,7.7,14.1,54.5,0.2,0.6,28.1,3.5,4.8,73.3,1.1,3.4,4.5,4.7,3,1.5,0.5,2,34.4,4,0,2.6
27,Monta Ellis,DAL,28,82,49,33,36.9,19,7,15.6,45.1,0.8,2.5,33,4.1,5.2,78.8,0.5,3.1,3.6,5.7,3.2,1.7,0.3,2.4,34.7,6,0,0.6
28,Jamal Crawford,LAC,34,69,47,22,30.4,18.6,6.1,14.7,41.6,2.3,6.5,36.1,4,4.7,86.6,0.5,1.8,2.3,3.2,2,0.9,0.2,1.7,27.3,2,0,3.9
29,Al Horford,ATL,28,29,16,13,33,18.6,8.2,14.5,56.7,0.1,0.4,36.4,2,2.9,68.2,2.3,6.1,8.4,2.6,2.2,0.9,1.5,1.9,37.7,9,0,2.5
30,Klay Thompson,GSW,24,81,51,30,35.4,18.4,6.9,15.5,44.4,2.8,6.6,41.7,1.8,2.3,79.5,0.5,2.6,3.1,2.2,1.7,0.9,0.5,2.9,27.9,1,0,6.6
31,Dwight Howard,HOU,28,71,48,23,33.8,18.3,6.7,11.3,59.1,0,0.1,28.6,4.9,9,54.7,3.3,8.9,12.2,1.8,3.2,0.8,1.8,3.4,40.4,47,0,4.8
32,Arron Afflalo,ORL,28,73,21,52,35,18.2,6.4,13.8,45.9,1.8,4.1,42.7,3.8,4.6,81.5,0.4,3.2,3.6,3.4,2,0.5,0,1.9,27.2,1,0,-5
33,David Lee,GSW,31,69,42,27,33.2,18.2,7.4,14.2,52.3,0,0,0,3.3,4.3,78,2.6,6.7,9.3,2.1,2.2,0.7,0.4,3,33.6,34,0,6.8
34,Paul Millsap,ATL,29,74,36,38,33.5,17.9,6.5,14.1,46.1,1,2.9,35.8,3.9,5.3,73.1,2.1,6.4,8.5,3.1,2.5,1.7,1.1,2.8,38.7,30,1,1.7
35,Kyle Lowry,TOR,28,79,45,34,36.2,17.9,5.8,13.7,42.3,2.4,6.3,38,4,4.9,81.3,1.1,3.6,4.7,7.4,2.5,1.5,0.2,3.4,37.4,18,2,3.4
36,Thaddeus Young,PHI,26,79,18,61,34.4,17.9,7.4,16.2,45.4,1.1,3.7,30.8,2.1,2.9,71.2,2.1,3.9,6,2.3,2.1,2.1,0.5,2.7,34.2,11,0,-8.3
37,Brandon Knight,MIL,22,72,13,59,33.3,17.9,6.4,15.2,42.2,1.5,4.7,32.5,3.6,4.5,80.2,0.6,2.9,3.5,4.9,2.6,1,0.2,2,30.5,4,0,-6.1
38,Nick Young,LAL,29,64,21,43,28.3,17.9,6,13.9,43.5,2.1,5.5,38.6,3.7,4.5,82.5,0.5,2.1,2.6,1.5,1.5,0.7,0.2,2.4,24.4,0,0,-1.3
39,Eric Bledsoe,PHX,24,43,28,15,32.9,17.7,6.2,12.9,47.7,1.2,3.3,35.7,4.3,5.5,77.2,0.6,4.1,4.7,5.5,3.3,1.6,0.3,2.3,34,4,0,3.2
40,Kemba Walker,CHA,24,73,38,35,35.8,17.7,6.2,15.7,39.3,1.5,4.5,33.3,3.9,4.6,83.7,0.5,3.7,4.2,6.1,2.3,1.2,0.4,1.8,34.4,9,1,1.8
