Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,James Harden,HOU,30,68,43,25,36.5,34.3,9.9,22.3,44.4,4.4,12.4,35.5,10.2,11.8,86.5,1.0,5.5,6.6,7.5,4.5,1.8,0.9,3.3,57.1,22,4,4.2
2,Bradley Beal,WAS,27,57,20,37,36.0,30.5,10.4,22.9,45.5,3.0,8.4,35.3,6.8,8.0,84.2,0.9,3.3,4.2,6.1,3.4,1.2,0.4,2.2,46.3,8,0,-3.5
3,Damian Lillard,POR,29,66,33,33,37.5,30.0,9.5,20.4,46.3,4.1,10.2,40.1,7.0,7.8,88.8,0.5,3.8,4.3,8.0,2.9,1.1,0.3,1.7,48.4,19,1,1.3
4,Trae Young,ATL,21,60,18,42,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8.0,9.3,86.0,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.7,47.6,28,2,-3.8
5,Giannis Antetokounmpo,MIL,25,63,51,12,30.4,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10.0,63.3,2.2,11.4,13.6,5.6,3.7,1.0,1.0,3.1,56.6,56,4,10.8
6,Luka Doncic,DAL,21,61,36,25,33.6,28.8,9.5,20.6,46.3,2.8,8.9,31.6,7.0,9.2,75.8,1.3,8.1,9.4,8.8,4.3,1.0,0.2,2.5,52.8,39,17,4.1
7,Kyrie Irving,BKN,28,20,8,12,32.9,27.4,10.0,20.8,47.8,2.8,7.1,39.4,4.7,5.1,92.2,1.1,4.1,5.2,6.4,2.6,1.4,0.5,2.7,46.1,3,1,-0.4
8,Russell Westbrook,HOU,31,57,36,21,36.0,27.2,10.6,22.5,47.2,1.0,3.7,25.8,5.1,6.7,76.3,1.8,6.2,7.9,7.0,4.5,1.6,0.4,3.5,48.8,22,8,2.2
9,Kawhi Leonard,LAC,29,57,41,16,32.4,27.1,9.3,19.9,47.0,2.2,5.7,37.8,6.2,7.1,88.6,0.9,6.1,7.1,4.9,2.6,1.8,0.6,2.0,47.4,13,1,8.4
10,Devin Booker,PHX,23,70,34,36,35.9,26.6,9.0,18.3,48.9,2.0,5.7,35.4,6.7,7.3,91.9,0.4,3.8,4.2,6.5,3.8,0.7,0.3,3.0,40.6,11,0,1.9
