RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,24806250
2,"Rashard Lewis, PF",Washington Wizards,19573711
3,"Tim Duncan, C",San Antonio Spurs,18835381
4,"Kevin Garnett, PF",Boston Celtics,18832044
5,"Michael Redd, SG",Milwaukee Bucks,18300000
6,"Pau Gasol, PF",Los Angeles Lakers,17823000
7,"Andrei Kirilenko, SF",Utah Jazz,17823000
8,"Gilbert Arenas, PG",Orlando Magic,17730694
9,"Yao Ming, C",Houston Rockets,17686100
10,"Zach Randolph, F",Memphis Grizzlies,17666666
RK,NAME,TEAM,SALARY
11,"Vince Carter, G",Phoenix Suns,17522375
12,"Dirk Nowitzki, F",Dallas Mavericks,17278618
13,"Carmelo Anthony, PF",New York Knicks,17149243
14,"Dwight Howard, C",Orlando Magic,16647180
15,"Kenyon Martin, PF",Denver Nuggets,16545454
16,"Amar'e Stoudemire, C",New York Knicks,16486611
17,"Joe Johnson, G",Atlanta Hawks,16324500
18,"Elton Brand, PF",Philadelphia 76ers,15959099
19,"Chris Paul, PG",New Orleans Hornets,14940153
20,"Deron Williams, PG",New Jersey Nets,14940153
RK,NAME,TEAM,SALARY
21,"Chris Bosh, PF",Miami Heat,14500000
22,"LeBron James, SF",Miami Heat,14500000
23,"Jason Richardson, SG",Orlando Magic,14444443
24,"Carlos Boozer, PF",Chicago Bulls,14400000
25,"Dwyane Wade, G",Miami Heat,14200000
26,"Baron Davis, PG",Cleveland Cavaliers,14000000
27,"Paul Pierce, SF",Boston Celtics,13876321
28,"Andrew Bynum, C",Los Angeles Lakers,13700000
29,"Brandon Roy, SG",Portland Trail Blazers,13603750
30,"Rudy Gay, SF",Memphis Grizzlies,13603750
RK,NAME,TEAM,SALARY
31,"Tony Parker, G",San Antonio Spurs,13500000
32,"Samuel Dalembert, C",Sacramento Kings,13428129
33,"Antawn Jamison, PF",Cleveland Cavaliers,13358905
34,"Nick Collison, F",Oklahoma City Thunder,13270000
35,"Chauncey Billups, PG",New York Knicks,13150000
36,"Al Jefferson, C",Utah Jazz,13000000
37,"Tyson Chandler, C",Dallas Mavericks,12600000
38,"Richard Hamilton, SG",Detroit Pistons,12500000
39,"Andre Iguodala, F",Philadelphia 76ers,12345250
40,"Manu Ginobili, G",San Antonio Spurs,11854584
