RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,23500000
2,"Joe Johnson, G",Brooklyn Nets,23180790
3,"Carmelo Anthony, PF",New York Knicks,22458401
4,"Dwight Howard, C",Houston Rockets,21436271
5,"Chris Bosh, PF",Miami Heat,20644400
6,"LeBron James, SF",Cleveland Cavaliers,20644400
7,"Chris Paul, PG",LA Clippers,20068563
8,"Deron Williams, PG",Brooklyn Nets,19754465
9,"Rudy Gay, SF",Sacramento Kings,19317326
10,"Kevin Durant, PF",Oklahoma City Thunder,18995624
RK,NAME,TEAM,SALARY
11,"Derrick Rose, PG",Chicago Bulls,18862876
12,"Blake Griffin, PF",LA Clippers,17674613
13,"Zach Randolph, F",Memphis Grizzlies,16500000
14,"LaMarcus Aldridge, C",Portland Trail Blazers,16006000
15,"Paul George, F",Indiana Pacers,15937290
16,"Marc Gasol, C",Memphis Grizzlies,15829688
17,"Kevin Love, PF",Cleveland Cavaliers,15719063
18,"Brook Lopez, C",Brooklyn Nets,15719062
19,"Russell Westbrook, PG",Oklahoma City Thunder,15719062
20,"David Lee, PF",Golden State Warriors,15012000
RK,NAME,TEAM,SALARY
21,"Dwyane Wade, G",Miami Heat,15000000
22,"Eric Gordon, SG",New Orleans Pelicans,14898938
23,"Roy Hibbert, C",Indiana Pacers,14898938
24,"Tyson Chandler, C",Dallas Mavericks,14846888
25,"Gordon Hayward, SF",Utah Jazz,14746000
26,"John Wall, PG",Washington Wizards,14746000
27,"DeMarcus Cousins, C",Sacramento Kings,14746000
28,"James Harden, SG",Houston Rockets,14728844
29,"Chandler Parsons, SF",Dallas Mavericks,14700000
30,"Al Jefferson, C",Charlotte Hornets,13500000
RK,NAME,TEAM,SALARY
31,"Eric Bledsoe, SG",Phoenix Suns,13000000
32,"Nene Hilario, C",Washington Wizards,13000000
33,"Andrew Bogut, C",Golden State Warriors,12972973
34,"Derrick Favors, F",Utah Jazz,12950000
35,"Rajon Rondo, PG",Dallas Mavericks,12909090
36,"Joakim Noah, C",Chicago Bulls,12700000
37,"Tony Parker, G",San Antonio Spurs,12500000
38,"Serge Ibaka, F",Oklahoma City Thunder,12350000
39,"Andre Iguodala, F",Golden State Warriors,12289544
40,"Nikola Pekovic, C",Minnesota Timberwolves,12100000
