RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,30453805
2,"Dirk Nowitzki, F",Dallas Mavericks,20907128
3,"Amar'e Stoudemire, C",New York Knicks,19948799
4,"Joe Johnson, G",Brooklyn Nets,19752645
5,"Carmelo Anthony, PF",New York Knicks,19444503
6,"Pau Gasol, PF",Los Angeles Lakers,19285850
7,"Chris Bosh, PF",Miami Heat,19067500
8,"LeBron James, SF",Miami Heat,19067500
9,"Dwyane Wade, G",Miami Heat,18673000
10,"Chris Paul, PG",LA Clippers,18668431
RK,NAME,TEAM,SALARY
11,"Kevin Durant, PF",Oklahoma City Thunder,17832626
12,"Derrick Rose, PG",Chicago Bulls,17632688
13,"Deron Williams, PG",Brooklyn Nets,17177795
14,"Andrew Bynum, C",Philadelphia 76ers,16889000
15,"Paul Pierce, SF",Boston Celtics,16790345
16,"Zach Randolph, F",Memphis Grizzlies,16500000
17,"Rudy Gay, SF",Toronto Raptors,16460538
18,"Carlos Boozer, PF",Chicago Bulls,15300000
19,"Andre Iguodala, F",Denver Nuggets,14968250
20,"Russell Westbrook, PG",Oklahoma City Thunder,14693906
RK,NAME,TEAM,SALARY
21,"Emeka Okafor, C",Washington Wizards,14487500
22,"Luol Deng, F",Chicago Bulls,14275000
23,"Manu Ginobili, G",San Antonio Spurs,14107492
24,"Marc Gasol, C",Memphis Grizzlies,13891359
25,"Blake Griffin, PF",LA Clippers,13701250
26,"Eric Gordon, SG",New Orleans Hornets,13668750
27,"Brook Lopez, C",Brooklyn Nets,13668750
28,"Kevin Love, PF",Minnesota Timberwolves,13668750
29,"Roy Hibbert, C",Indiana Pacers,13668750
30,"Tyson Chandler, C",New York Knicks,13604188
RK,NAME,TEAM,SALARY
31,"LaMarcus Aldridge, C",Portland Trail Blazers,13500000
32,"Al Jefferson, C",Utah Jazz,13500000
33,"Ben Gordon, SG",Charlotte Bobcats,13200000
34,"Josh Smith, PF",Atlanta Hawks,13200000
35,"Danny Granger, SF",Indiana Pacers,13058606
36,"Andrew Bogut, C",Golden State Warriors,13000000
37,"Nene Hilario, C",Washington Wizards,13000000
38,"David Lee, PF",Golden State Warriors,12744000
39,"Tony Parker, G",San Antonio Spurs,12500000
40,"Kevin Martin, SG",Oklahoma City Thunder,12439675
