RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,25244493
2,"Kevin Garnett, PF",Boston Celtics,21247044
3,"Tim Duncan, C",San Antonio Spurs,21164619
4,"Rashard Lewis, PF",Washington Wizards,21136631
5,"Dirk Nowitzki, F",Dallas Mavericks,19092873
6,"Pau Gasol, PF",Los Angeles Lakers,18714150
7,"Carmelo Anthony, PF",New York Knicks,18518574
8,"Amar'e Stoudemire, C",New York Knicks,18217705
9,"Elton Brand, PF",Philadelphia 76ers,18160355
10,"Dwight Howard, C",Orlando Magic,18091770
RK,NAME,TEAM,SALARY
11,"Joe Johnson, G",Atlanta Hawks,18038573
12,"Andrei Kirilenko, SF",Philadelphia 76ers,17823000
13,"Chris Bosh, PF",Miami Heat,17545000
14,"LeBron James, SF",Miami Heat,17545000
15,"Chris Paul, PG",LA Clippers,16359805
16,"Deron Williams, PG",New Jersey Nets,16359805
17,"Dwyane Wade, G",Miami Heat,15691000
18,"Kevin Durant, PF",Oklahoma City Thunder,15506632
19,"Paul Pierce, SF",Boston Celtics,15333334
20,"Zach Randolph, F",Memphis Grizzlies,15200000
RK,NAME,TEAM,SALARY
21,"Antawn Jamison, PF",Cleveland Cavaliers,15076715
22,"Brandon Roy, SG",Minnesota Timberwolves,15032144
23,"Rudy Gay, SF",Memphis Grizzlies,15032144
24,"Al Jefferson, C",Utah Jazz,15000000
25,"Andrew Bynum, C",Los Angeles Lakers,14900000
26,"Andre Iguodala, F",Philadelphia 76ers,14718250
27,"Manu Ginobili, G",San Antonio Spurs,14107492
28,"Chris Kaman, C",New Orleans Hornets,14030000
29,"LaMarcus Aldridge, C",Portland Trail Blazers,14000000
30,"Carlos Boozer, PF",Chicago Bulls,13500000
RK,NAME,TEAM,SALARY
31,"Tyson Chandler, C",New York Knicks,13107837
32,"Nene Hilario, C",Washington Wizards,13000000
33,"Marc Gasol, C",Memphis Grizzlies,12922194
34,"Emeka Okafor, C",New Orleans Hornets,12642500
35,"Tony Parker, G",San Antonio Spurs,12500000
36,"Al Horford, C",Atlanta Hawks,12498483
37,"Josh Smith, PF",Atlanta Hawks,12400000
38,"Luol Deng, F",Chicago Bulls,12325000
39,"Danny Granger, SF",Indiana Pacers,12015904
40,"Joakim Noah, C",Chicago Bulls,12000000
