RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,25000000
2,"LeBron James, SF",Cleveland Cavaliers,22970500
3,"Carmelo Anthony, PF",New York Knicks,22875000
4,"Dwight Howard, C",Houston Rockets,22359364
5,"Chris Bosh, PF",Miami Heat,22192730
6,"Chris Paul, PG",LA Clippers,21468695
7,"Kevin Durant, PF",Oklahoma City Thunder,20158622
8,"Derrick Rose, PG",Chicago Bulls,20093064
9,"Dwyane Wade, G",Miami Heat,20000000
10,"LaMarcus Aldridge, C",San Antonio Spurs,19689000
RK,NAME,TEAM,SALARY
11,"Brook Lopez, C",Brooklyn Nets,19689000
12,"Kevin Love, PF",Cleveland Cavaliers,19689000
13,"DeAndre Jordan, C",LA Clippers,19689000
14,"Marc Gasol, C",Memphis Grizzlies,19688000
15,"Blake Griffin, PF",LA Clippers,18907726
16,"Paul Millsap, PF",Atlanta Hawks,18671659
17,"Paul George, F",Indiana Pacers,17120106
18,"Russell Westbrook, PG",Oklahoma City Thunder,16744218
19,"Kyrie Irving, PG",Cleveland Cavaliers,16407501
20,"Greg Monroe, C",Milwaukee Bucks,16407500
RK,NAME,TEAM,SALARY
21,"Jimmy Butler, SF",Chicago Bulls,16407500
22,"Kawhi Leonard, SF",San Antonio Spurs,16407500
23,"Enes Freedom, C",Oklahoma City Thunder,16407500
24,"Wesley Matthews, SG",Dallas Mavericks,16407500
25,"Tobias Harris, PF",Detroit Pistons,16000000
26,"John Wall, PG",Washington Wizards,15851950
27,"DeMarcus Cousins, C",Sacramento Kings,15851950
28,"James Harden, SG",Houston Rockets,15756438
29,"Roy Hibbert, C",Los Angeles Lakers,15592217
30,"Eric Gordon, SG",New Orleans Pelicans,15514031
RK,NAME,TEAM,SALARY
31,"Klay Thompson, SG",Golden State Warriors,15501000
32,"Gordon Hayward, SF",Utah Jazz,15409570
33,"Chandler Parsons, SF",Dallas Mavericks,15361500
34,"Goran Dragic, PG",Miami Heat,14783000
35,"Khris Middleton, SF",Milwaukee Bucks,14700000
36,"Draymond Green, PF",Golden State Warriors,14260870
37,"Tristan Thompson, C",Cleveland Cavaliers,14260870
38,"Danilo Gallinari, PF",Denver Nuggets,14000000
39,"Reggie Jackson, PG",Detroit Pistons,13913044
40,"Andrew Bogut, C",Golden State Warriors,13800000
