RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,37457154
2,"Blake Griffin, PF",Detroit Pistons,32088932
3,"Paul Millsap, PF",Denver Nuggets,31269231
4,"Kyle Lowry, PG",Toronto Raptors,31200000
5,"Gordon Hayward, SF",Boston Celtics,29727900
6,"Mike Conley, PG",Memphis Grizzlies,28530608
7,"Russell Westbrook, PG",Oklahoma City Thunder,28530608
8,"James Harden, SG",Houston Rockets,28299399
9,"DeMar DeRozan, SF",Toronto Raptors,27739975
10,"Al Horford, C",Boston Celtics,27734406
RK,NAME,TEAM,SALARY
11,"Carmelo Anthony, PF",Oklahoma City Thunder,26243760
12,"Damian Lillard, PG",Portland Trail Blazers,26153057
13,"Otto Porter Jr., SF",Washington Wizards,26011913
14,"Jrue Holiday, PG",New Orleans Pelicans,25686667
15,"Bradley Beal, SG",Washington Wizards,25434263
16,"Andre Drummond, C",Detroit Pistons,25434263
17,"Hassan Whiteside, C",Miami Heat,25434262
18,"Joel Embiid, C",Philadelphia 76ers,25250000
19,"Chris Paul, PG",Houston Rockets,24599495
20,"Giannis Antetokounmpo, PF",Milwaukee Bucks,24157303
RK,NAME,TEAM,SALARY
21,"Kevin Love, PF",Cleveland Cavaliers,24119025
22,"Nicolas Batum, PF",Charlotte Hornets,24000000
23,"CJ McCollum, SG",Portland Trail Blazers,23962573
24,"Dwight Howard, C",Charlotte Hornets,23819725
25,"Anthony Davis, PF",New Orleans Pelicans,23775506
26,"Harrison Barnes, SF",Dallas Mavericks,23112004
27,"Chandler Parsons, SF",Memphis Grizzlies,23112004
28,"Brook Lopez, C",Los Angeles Lakers,22642650
29,"Marc Gasol, C",Memphis Grizzlies,22642350
30,"DeAndre Jordan, C",LA Clippers,22642350
RK,NAME,TEAM,SALARY
31,"Steven Adams, C",Oklahoma City Thunder,22471910
32,"Rudy Gobert, C",Utah Jazz,21924719
33,"Serge Ibaka, F",Toronto Raptors,21666667
34,"LaMarcus Aldridge, C",San Antonio Spurs,21461010
35,"Victor Oladipo, SG",Indiana Pacers,21000000
36,"Danilo Gallinari, PF",LA Clippers,20559599
37,"Ryan Anderson, PF",Houston Rockets,19578455
38,"Paul George, F",Oklahoma City Thunder,19508958
39,"Jimmy Butler, SF",Minnesota Timberwolves,19301070
40,"Tyler Johnson, G",Miami Heat,19245370
