RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,30453805
2,"Dirk Nowitzki, F",Dallas Mavericks,22721381
3,"Amar'e Stoudemire, C",New York Knicks,21679893
4,"Joe Johnson, G",Brooklyn Nets,21466718
5,"Carmelo Anthony, PF",New York Knicks,21388953
6,"Dwight Howard, C",Houston Rockets,20513178
7,"Pau Gasol, PF",Los Angeles Lakers,19285850
8,"Chris Bosh, PF",Miami Heat,19067500
9,"LeBron James, SF",Miami Heat,19067500
10,"Dwyane Wade, G",Miami Heat,18673000
RK,NAME,TEAM,SALARY
11,"Chris Paul, PG",LA Clippers,18668431
12,"Deron Williams, PG",Brooklyn Nets,18466130
13,"Zach Randolph, F",Memphis Grizzlies,18238333
14,"Rudy Gay, SF",Sacramento Kings,17888932
15,"Kevin Durant, PF",Oklahoma City Thunder,17832627
16,"Derrick Rose, PG",Chicago Bulls,17632688
17,"Blake Griffin, PF",LA Clippers,16441500
18,"Paul Pierce, SF",Brooklyn Nets,15333334
19,"Carlos Boozer, PF",Chicago Bulls,15300000
20,"LaMarcus Aldridge, C",Portland Trail Blazers,14878000
RK,NAME,TEAM,SALARY
21,"Marc Gasol, C",Memphis Grizzlies,14860523
22,"Brook Lopez, C",Brooklyn Nets,14693906
23,"Kevin Love, PF",Minnesota Timberwolves,14693906
24,"Russell Westbrook, PG",Oklahoma City Thunder,14693906
25,"Emeka Okafor, C",Philadelphia 76ers,14487500
26,"Eric Gordon, SG",New Orleans Pelicans,14283844
27,"Roy Hibbert, C",Indiana Pacers,14283844
28,"Luol Deng, F",Cleveland Cavaliers,14275000
29,"Tyson Chandler, C",New York Knicks,14100538
30,"Andrew Bogut, C",Golden State Warriors,14000000
RK,NAME,TEAM,SALARY
31,"David Lee, PF",Golden State Warriors,13878000
32,"James Harden, SG",Houston Rockets,13701250
33,"Al Jefferson, C",Charlotte Bobcats,13500000
34,"Josh Smith, PF",Detroit Pistons,13500000
35,"Nene Hilario, C",Washington Wizards,13000000
36,"Andre Iguodala, F",Golden State Warriors,12868632
37,"Tony Parker, G",San Antonio Spurs,12500000
38,"Kevin Garnett, PF",Brooklyn Nets,12433735
39,"Serge Ibaka, F",Oklahoma City Thunder,12350000
40,"Nikola Pekovic, C",Minnesota Timberwolves,12100000
