RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,37457154
2,"LeBron James, SF",Los Angeles Lakers,35654150
3,"Russell Westbrook, PG",Oklahoma City Thunder,35654150
4,"Chris Paul, PG",Houston Rockets,35654150
5,"Blake Griffin, PF",Detroit Pistons,32088932
6,"Gordon Hayward, SF",Boston Celtics,31214295
7,"Kyle Lowry, PG",Toronto Raptors,31200000
8,"Paul George, F",Oklahoma City Thunder,30560700
9,"Mike Conley, PG",Memphis Grizzlies,30521115
10,"James Harden, SG",Houston Rockets,30421854
RK,NAME,TEAM,SALARY
11,"Kevin Durant, PF",Golden State Warriors,30000000
12,"Paul Millsap, PF",Denver Nuggets,29230769
13,"Al Horford, C",Boston Celtics,28928709
14,"Damian Lillard, PG",Portland Trail Blazers,27977689
15,"DeMar DeRozan, SF",San Antonio Spurs,27739975
16,"Otto Porter Jr., SF",Chicago Bulls,26011913
17,"Jrue Holiday, PG",New Orleans Pelicans,25976111
18,"CJ McCollum, SG",Portland Trail Blazers,25759766
19,"Joel Embiid, C",Philadelphia 76ers,25467250
20,"Andrew Wiggins, SF",Minnesota Timberwolves,25467250
RK,NAME,TEAM,SALARY
21,"Bradley Beal, SG",Washington Wizards,25434263
22,"Anthony Davis, PF",New Orleans Pelicans,25434263
23,"Andre Drummond, C",Detroit Pistons,25434263
24,"Hassan Whiteside, C",Miami Heat,25434262
25,"Nikola Jokic, C",Denver Nuggets,24605181
26,"Steven Adams, C",Oklahoma City Thunder,24157303
27,"Giannis Antetokounmpo, PF",Milwaukee Bucks,24157303
28,"Marc Gasol, C",Toronto Raptors,24119025
29,"Kevin Love, PF",Cleveland Cavaliers,24119025
30,"Harrison Barnes, SF",Sacramento Kings,24107258
RK,NAME,TEAM,SALARY
31,"Chandler Parsons, SF",Memphis Grizzlies,24107258
32,"Nicolas Batum, PF",Charlotte Hornets,24000000
33,"Rudy Gobert, C",Utah Jazz,23241573
34,"Kawhi Leonard, SF",Toronto Raptors,23114067
35,"DeAndre Jordan, C",New York Knicks,22897200
36,"LaMarcus Aldridge, C",San Antonio Spurs,22347015
37,"Serge Ibaka, F",Toronto Raptors,21666667
38,"Aaron Gordon, PF",Orlando Magic,21590909
39,"Danilo Gallinari, PF",LA Clippers,21587579
40,"Victor Oladipo, SG",Indiana Pacers,21000000
